section,category,metric,value,notes
PER_LABEL_RELIABILITY,Pbh_1_SUB,Coder 1 Prevalence,0.0499,
PER_LABEL_RELIABILITY,Pbh_1_SUB,Coder 2 Prevalence,0.0339,
PER_LABEL_RELIABILITY,Pbh_1_SUB,Percent Agreement,0.9760,
PER_LABEL_RELIABILITY,Pbh_1_SUB,Cohen's Kappa,0.7023,
PER_LABEL_RELIABILITY,Pbh_1_SUB,Gwet's AC1,0.9521,
PER_LABEL_RELIABILITY,Pbh_3_SUB,Sample Size,501,
PER_LABEL_RELIABILITY,Pbh_3_SUB,Coder 1 Prevalence,0.0140,
PER_LABEL_RELIABILITY,Pbh_3_SUB,Coder 2 Prevalence,0.0040,
PER_LABEL_RELIABILITY,Pbh_3_SUB,Percent Agreement,0.9900,
PER_LABEL_RELIABILITY,Pbh_3_SUB,Cohen's Kappa,0.4410,
PER_LABEL_RELIABILITY,Pbh_3_SUB,Gwet's AC1,0.9800,
PER_LABEL_RELIABILITY,Pbh_Detection,Sample Size,501,
PER_LABEL_RELIABILITY,Pbh_Detection,Coder 1 Prevalence,0.0559,
PER_LABEL_RELIABILITY,Pbh_Detection,Coder 2 Prevalence,0.0000,
PER_LABEL_RELIABILITY,Pbh_Detection,Percent Agreement,0.9441,
PER_LABEL_RELIABILITY,Pbh_Detection,Cohen's Kappa,0.0000,
PER_LABEL_RELIABILITY,Pbh_Detection,Gwet's AC1,0.8882,
PER_LABEL_RELIABILITY,Pol_1_SUB,Sample Size,501,
PER_LABEL_RELIABILITY,Pol_1_SUB,Coder 1 Prevalence,0.0878,
PER_LABEL_RELIABILITY,Pol_1_SUB,Coder 2 Prevalence,0.0659,
PER_LABEL_RELIABILITY,Pol_1_SUB,Percent Agreement,0.9222,
PER_LABEL_RELIABILITY,Pol_1_SUB,Cohen's Kappa,0.4523,
PER_LABEL_RELIABILITY,Pol_1_SUB,Gwet's AC1,0.8443,
PER_LABEL_RELIABILITY,Pol_2_SUB,Sample Size,501,
